date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:37:53	60583/60583	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min861b.css	(from https://techslideitsolutions.com/)
07:37:53	26702/26702	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:02:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.22.3	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mindcff.css	(from https://techslideitsolutions.com/)
07:37:53	50568/50568	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:33%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-7469.css?ver=1720598733	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-746921a2.css	(from https://techslideitsolutions.com/)
07:37:55	17046/17046	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-7622.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-7622861b.css	(from https://techslideitsolutions.com/)
07:37:56	4580/4580	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-7608.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-7608861b.css	(from https://techslideitsolutions.com/)
07:37:57	118017/118017	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/bootstrap.min.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/bootstrap.min861b.css	(from https://techslideitsolutions.com/)
07:37:58	16281/16281	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/style.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/style861b.css	(from https://techslideitsolutions.com/)
07:37:59	661551/661551	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/layouts/layout_manchester/main.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/layouts/layout_manchester/main2259.css	(from https://techslideitsolutions.com/)
07:38:00	14923/14923	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2010:38:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/select2.min.css?ver=6.5.25	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/select2.minb02e.css	(from https://techslideitsolutions.com/)
07:38:01	3264/3264	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202024%2006:38:00%20GMT	https://fonts.googleapis.com/css?family=Sen%3Aregular%2C700%2C800%7CPlayfair+Display%3Aregular%2C500%2C600%2C700%2C800%2C900%2Citalic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic&ver=6.5.25	/home/nyuydinebill/My%20Web%20Sites/test-site/fonts.googleapis.com/css6fc2.css	(from https://techslideitsolutions.com/)
07:38:02	80795/80795	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2010:38:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/fontawesome/fontawesome.min.css?ver=6.5.25	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/fontawesome/fontawesome.minb02e.css	(from https://techslideitsolutions.com/)
07:38:03	19422/19422	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/fontawesome/brands.min.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/fontawesome/brands.min2259.css	(from https://techslideitsolutions.com/)
07:38:04	687/687	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/fontawesome/solid.min.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/fontawesome/solid.min2259.css	(from https://techslideitsolutions.com/)
07:38:05	27593/27593	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2010:38:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/fontawesome/v4-shims.min.css?ver=6.5.25	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/themes/consulting/assets/css/fontawesome/v4-shims.minb02e.css	(from https://techslideitsolutions.com/)
07:38:06	3062/3062	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/uploads/stm_uploads/theme_options.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/uploads/stm_uploads/theme_options2259.css	(from https://techslideitsolutions.com/)
07:38:07	66079/66079	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/layouts/global_styles/main.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/assets/css/layouts/global_styles/main2259.css	(from https://techslideitsolutions.com/)
07:38:08	14832/14832	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/inc/megamenu/assets/css/megamenu.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/themes/consulting/inc/megamenu/assets/css/megamenu2259.css	(from https://techslideitsolutions.com/)
07:38:09	70498/70498	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/halfdata-green-popups/css/style.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/halfdata-green-popups/css/style2259.css	(from https://techslideitsolutions.com/)
07:38:10	17363/17363	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/halfdata-green-popups/css/airdatepicker.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/halfdata-green-popups/css/airdatepicker2259.css	(from https://techslideitsolutions.com/)
07:38:12	8673/8673	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202024%2006:38:11%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CSen%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CMontserrat%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/fonts.googleapis.com/csscce4.css	(from https://techslideitsolutions.com/)
07:38:13	58071/58071	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:02:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://techslideitsolutions.com/)
07:38:14	1082/1082	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min2259.css	(from https://techslideitsolutions.com/)
07:38:15	1090/1090	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min2259.css	(from https://techslideitsolutions.com/)
07:38:16	1088/1088	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:11%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1720598711	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min2259.css	(from https://techslideitsolutions.com/)
